sentence1,sentence2,is_true
"Angel food cake -- Angel food cake, or angel cake, is a type of sponge cake made with egg whites, flour, and sugar. A whipping agent, such as cream of tartar, is commonly added. It differs from other cakes because it uses no butter. Its structure comes from whipped egg whites known as a protein foam. Angel food cake originated in the United States and first became popular in the late 19th century. It gained its unique reputation along with its name due to its light and fluffy texture, said to resemble the ``food of the angels''.",does angel food cake have eggs in it,1
"Postal code -- A postal code (also known locally in various English-speaking countries throughout the world as a postcode, post code, Eircode, PIN Code or ZIP Code) is a series of letters or digits or both, sometimes including spaces or punctuation, included in a postal address for the purpose of sorting mail.",are zip code and postal code the same,1
"Vena amoris -- Vena amoris is a Latin name meaning, literally, ``vein of love''. Traditional belief established that this vein ran directly from the fourth finger of the left hand to the heart. This theory has been cited in western cultures as one of the reasons the engagement ring and/or wedding ring was placed on the fourth finger, or ``ring finger''. This traditional belief is factually inaccurate as all the fingers in the hand have a similar vein structure.",is it true that the ring finger is connected to the heart,0
"Cougar -- The cougar (Puma concolor), also commonly known as the puma, mountain lion, panther, or catamount, is a large felid of the subfamily Felinae native to the Americas. Its range, from the Canadian Yukon to the southern Andes of South America, is the widest of any large wild terrestrial mammal in the Western Hemisphere. An adaptable, generalist species, the cougar is found in most American habitat types. It is the biggest cat in North America and the second-heaviest cat in the New World after the jaguar. Secretive and largely solitary by nature, the cougar is properly considered both nocturnal and crepuscular, although daytime sightings do occur. The cougar is more closely related to smaller felines, including the domestic cat (subfamily Felinae), than to any species of subfamily Pantherinae, of which only the jaguar is native to the Americas.",are a cougar and mountain lion the same,1
"Harry Potter and the Cursed Child -- The story begins nineteen years after the events of Harry Potter and the Deathly Hallows and follows Harry Potter, now a Ministry of Magic employee, and his younger son Albus Severus Potter, who is about to attend Hogwarts School of Witchcraft and Wizardry.",is harry potter and the cursed child a prequel,0
"Cryptorchidism -- Cryptorchidism is the absence of one or both testes from the scrotum. The word is from the Greek κρυπτός, kryptos, meaning hidden ὄρχις, orchis, meaning testicle. It is the most common birth defect of the male genital. About 3% of full-term and 30% of premature infant boys are born with at least one undescended testis. However, about 80% of cryptorchid testes descend by the first year of life (the majority within three months), making the true incidence of cryptorchidism around 1% overall. Cryptorchidism may develop after infancy, sometimes as late as young adulthood, but that is exceptional.",can a person be born with one testicle,1
"Great Wall of China -- The frontier walls built by different dynasties have multiple courses. Collectively, they stretch from Dandong in the east to Lop Lake in the west, from present-day Sino-Russian border in the north to Qinghai in the south; along an arc that roughly delineates the edge of Mongolian steppe. A comprehensive archaeological survey, using advanced technologies, has concluded that the walls built by the Ming dynasty measure 8,850 km (5,500 mi). This is made up of 6,259 km (3,889 mi) sections of actual wall, 359 km (223 mi) of trenches and 2,232 km (1,387 mi) of natural defensive barriers such as hills and rivers. Another archaeological survey found that the entire wall with all of its branches measures out to be 21,196 km (13,171 mi). Today, the Great Wall is generally recognized as one of the most impressive architectural feats in history.",is the great wall of china all around china,0
"Rummy -- Play begins with the player on the dealer's left and proceeds clockwise. On their turn, each player draws the top card from the stock or the discard pile. The player may then meld or lay off, which are both optional, before discarding a single card to the top of the discard pile to end their turn.",can you draw from the discard pile in rummy,1
"Time Quintet -- The series originated with A Wrinkle in Time, written in 1959 to 1960 and turned down by 26 publishers before Farrar, Straus & Giroux finally published it in 1962. A Wrinkle in Time won the Newbery Medal and has sold over 6 million copies. The sequel, A Wind in the Door, takes place the following year but was published over a decade later, in 1973. A Swiftly Tilting Planet, set ten years after A Wrinkle in Time, followed in 1978. The fourth title of the quintet, Many Waters, was published in 1986, but takes place several years before A Swiftly Tilting Planet. This is readily apparent from the fact that Sandy and Dennys Murry are in high school as of Many Waters, but refer to their college studies at the time of A Swiftly Tilting Planet; and from Meg's unmarried status as of Many Waters.",is there a sequel to wrinkle in time,1
"Insulin resistance -- Insulin resistance (IR) is a pathological condition in which cells fail to respond normally to the hormone insulin. The body produces insulin when glucose starts to be released into the bloodstream from the digestion of carbohydrates (primarily) in the diet. Under normal conditions of insulin reactivity, this insulin response triggers glucose being taken into body cells, to be used for energy, and inhibits the body from using fat for energy, thereby causing the concentration of glucose in the blood to decrease as a result, staying within the normal range even when a large amount of carbohydrates is consumed. During insulin resistance, however, excess glucose is not sufficiently absorbed by cells even in the presence of insulin, thereby causing an increase in the level of blood sugar.",is there such a thing as insulin resistance,1
"Wikipedia:Naming conventions (chemistry) -- In former versions of the IUPAC recommendations, names were written with a capital initial letter. This practice has been abandoned in later publications. The names of chemical compounds and chemical elements when written out, are common nouns in English, rather than proper nouns. They are capitalized at the beginning of a sentence or title, but not elsewhere. Note that for chemical elements this applies to the word only and not the chemical symbol, which is always capitalized. Both rules remain even with chemical elements derived from proper names which would otherwise be capitalized, in keeping with IUPAC policy to differentiate proper names from things named after proper names. Thus, it is californium but the symbol is Cf, and einsteinium, but symbol Es. Note that names for odd or rare chemicals are uncapitalized like common ones, and thus uranium and plutonium (symbols U and Pu) should be uncapitalized like carbon or iron (symbols C and Fe). This rule (full name uncapitalized but symbol capitalized) applies also to isotopes and nuclides, when completely written out: thus C but carbon-14. (The element mercury is uncapitalized, but of course the planet and god Mercury remain capitalized proper nouns).",do you capitalize elements of the periodic table,0
"The Flash (season 4) -- The fourth season began airing on October 10, 2017, and ran for 23 episodes on The CW until May 22, 2018.",will there be a season 4 of the flash,1
"Morton's toe -- The most common symptom experienced due to Morton's toe is callusing and/or discomfort of the ball of the foot at the base of the second toe. The first metatarsal head would normally bear the majority of a person's body weight during the propulsive phases of gait, but because the second metatarsal head is farthest forward, the force is transferred there. Pain may also be felt in the arch of the foot, at the ankleward end of the first and second metatarsals.",is it normal for my second toe to be longer,0
"List of last World War I veterans by country -- This is a list of the last World War I veterans to die by country. The last living veteran of World War I (28 July 1914 -- 11 November 1918) was Florence Green, a British citizen who served in the Allied armed forces, and who died 4 February 2012, aged 110. The last combat veteran was Claude Choules who served in the British Royal Navy (and later the Royal Australian Navy) and died 5 May 2011, aged 110. The last veteran who served in the trenches was Harry Patch (British Army) who died on 25 July 2009, aged 111. The last Central Powers veteran, Franz Künstler of Austria-Hungary, died on 27 May 2008 at the age of 107.",is there anyone alive from world war 1,0
"Lady Bird (film) -- Lady Bird is a 2017 American coming-of-age comedy-drama film written and directed by Greta Gerwig and starring Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Stephen McKinley Henderson, and Lois Smith. Set in Sacramento, California, in 2002, it is a coming-of-age story of a high-school senior and her turbulent relationship with her mother.",is the movie lady bird about lady bird johnson,0
"Volkswagen Group -- Volkswagen AG (German: (ˈfɔlksˌvaːgn̩)), known internationally as the Volkswagen Group, is a German multinational automotive manufacturing company headquartered in Wolfsburg, Lower Saxony, Germany and indirectly majority owned by the Austrian Porsche-Piech family. It designs, manufactures and distributes passenger and commercial vehicles, motorcycles, engines, and turbomachinery and offers related services including financing, leasing and fleet management. In 2016, it was the world's largest automaker by sales, overtaking Toyota and keeping this title in 2017, selling 10.7 million vehicles. It has maintained the largest market share in Europe for over two decades. It ranked sixth in the 2017 Fortune Global 500 list of the world's largest companies. Volkswagen Group sells passenger cars under the Audi, Bentley, Bugatti, Lamborghini, Porsche, SEAT, Škoda and Volkswagen marques; motorcycles under the Ducati brand; and commercial vehicles under the marques MAN, Scania, and Volkswagen Commercial Vehicles. It is divided into two primary divisions, the Automotive Division and the Financial Services Division, and as of 2008 had approximately 342 subsidiary companies. VW also has two major joint-ventures in China (FAW-Volkswagen and SAIC Volkswagen). The company has operations in approximately 150 countries and operates 100 production facilities across 27 countries.",are audi and volkswagen made by the same company,1
"San Fernando Valley -- Nearly two-thirds of the valley's land area is part of the city of Los Angeles. The other incorporated cities in the valley are Glendale, Burbank, San Fernando, Hidden Hills, Agoura Hills, and Calabasas.",is pasadena part of the san fernando valley,0
"Universal Declaration of Human Rights -- The meeting record provides firsthand insight into the debate. South Africa's position can be seen as an attempt to protect its system of apartheid, which clearly violated several articles in the Declaration. The Saudi Arabian delegation's abstention was prompted primarily by two of the Declaration's articles: Article 18, which states that everyone has the right ``to change his religion or belief''; and Article 16, on equal marriage rights. The six communist countries abstentions centred around the view that the Declaration did not go far enough in condemning fascism and Nazism. Eleanor Roosevelt attributed the abstention of Soviet bloc countries to Article 13, which provided the right of citizens to leave their countries.",has saudi arabia signed the universal declaration of human rights,0
"Yard -- The yard (abbreviation: yd) is an English unit of length, in both the British imperial and US customary systems of measurement, that comprises 3 feet or 36 inches. It is by international agreement in 1959 standardized as exactly 0.9144 meters. A metal yardstick originally formed the physical standard from which all other units of length were officially derived in both English systems.",is a yard the same as a meter,0
"United States federal judge -- ``Article III federal judges'' (as opposed to judges of some courts with special jurisdictions) serve ``during good behavior'' (often paraphrased as appointed ``for life''). Judges hold their seats until they resign, die, or are removed from office. Although the legal orthodoxy is that judges cannot be removed from office except by impeachment by the House of Representatives followed by conviction by the Senate, several legal scholars, including William Rehnquist, Saikrishna Prakash, and Steven D. Smith, have argued that the Good Behaviour Clause may, in theory, permit removal by way of a writ of scire facias filed before a federal court, without resort to impeachment.",can a judge be removed from the bench,1
"EZ TAG -- Despite the similarity in the names, EZ Tags are not compatible with the E-ZPass system in the northeast U.S.",is ez pass the same as ez tag,0
"Sir -- As a privilege of the members of the Order of the Knights of Rizal, the prefix ``Sir'' is attached to their forenames while wives of Knights add the prefix ``Lady'' to their first names. These apply to both spoken and written forms of address. The Knights of Rizal is the sole order of knighthood in the Philippines and a constituted Order of Merit recognized by the Orders, decorations, and medals of the Philippines. The prefix is appended with the relevant post-nominal according to their rank at the end of their names: Knight of Rizal (KR), Knight Officer of Rizal (KOR), Knight Commander of Rizal (KCR), Knight Grand Officer of Rizal (KGOR) and Knight Grand Cross of Rizal (KGCR). Among the notable members of the Knights of Rizal include King Juan Carlos I of Spain who was conferred a Knight Grand Cross of Rizal on 11 February 1998.",can you be a sir if not british,1
"Dairy cattle -- To maintain lactation, a dairy cow must be bred and produce calves. Depending on market conditions, the cow may be bred with a ``dairy bull'' or a ``beef bull.'' Female calves (heifers) with dairy breeding may be kept as replacement cows for the dairy herd. If a replacement cow turns out to be a substandard producer of milk, she then goes to market and can be slaughtered for beef. Male calves can either be used later as a breeding bull or sold and used for veal or beef. Dairy farmers usually begin breeding or artificially inseminating heifers around 13 months of age. A cow's gestation period is approximately nine months. Newborn calves are removed from their mothers quickly, usually within three days, as the mother/calf bond intensifies over time and delayed separation can cause extreme stress on both cow and calf.",do cows have to keep getting pregnant to produce milk,1
"Public and bank holidays in Scotland -- Bank and public holidays in Scotland are determined under the Banking and Financial Dealings Act 1971 and the St Andrew's Day Bank Holiday (Scotland) Act 2007. Unlike the rest of United Kingdom, most bank holidays are not recognised as statutory public holidays in Scotland, as most public holidays are determined by local authorities across Scotland. Some of these may be taken in lieu of statutory holidays, while others may be additional holidays, although many companies, including Royal Mail, do not follow all the holidays listed below; and many swap between English and local holidays. Many large shops and supermarkets continue to operate normally during public holidays, especially since there are no restrictions such as Sunday trading rules in Scotland.",does scotland have the same bank holidays as england,0
"The Wheel of Time -- The series is set in an unnamed world that, due to the cyclical nature of time as depicted in the series, is simultaneously the distant past and the distant future Earth. The series depicts fictional, ancient mythology that references modern Earth history, while events in the series prefigure real Earth myths. The series takes place about three thousand years after ``The Breaking of the World'', a global cataclysm that ended the ``Age of Legends'', a highly advanced era. Throughout most of the series, the world's technology and institutions are comparable to those of the Renaissance, but with greater equality for women; some cultures are matriarchal. Events later in the series prompt advances similar to the Industrial Revolution.",is the wheel of time set on earth,1
"The First Wives Club -- The First Wives Club is a 1996 American comedy film based on the best-selling 1992 novel of the same name by Olivia Goldsmith. Narrated by Diane Keaton, it stars Keaton, Goldie Hawn, and Bette Midler as three divorced women who seek revenge on their ex-husbands who left them for younger women. Stephen Collins, Victor Garber and Dan Hedaya co-star as the husbands, and Sarah Jessica Parker, Marcia Gay Harden and Elizabeth Berkley as their lovers, with Maggie Smith, Bronson Pinchot and Stockard Channing also starring. Scott Rudin produced and Hugh Wilson directed; the film was distributed by Paramount Pictures.",is the first wives club based on a true story,0
"Right to privacy -- Although the Constitution does not explicitly include the right to privacy, the Supreme Court has found that the Constitution implicitly grants a right to privacy against governmental intrusion from the First Amendment, Third Amendment, Fourth Amendment, and the Fifth Amendment. This right to privacy has been the justification for decisions involving a wide range of civil liberties cases, including Pierce v. Society of Sisters, which invalidated a successful 1922 Oregon initiative requiring compulsory public education, Griswold v. Connecticut, where a right to privacy was first established explicitly, Roe v. Wade, which struck down a Texas abortion law and thus restricted state powers to enforce laws against abortion, and Lawrence v. Texas, which struck down a Texas sodomy law and thus eliminated state powers to enforce laws against sodomy.",does the us constitution protect the right to privacy,1
"Chickpea -- The chickpea or chick pea (Cicer arietinum) is a legume of the family Fabaceae, subfamily Faboideae. Its different types are variously known as gram or Bengal gram, garbanzo or garbanzo bean, and Egyptian pea. Chickpea seeds are high in protein. It is one of the earliest cultivated legumes and 7500-year-old remains have been found in the Middle East.",are chickpeas and garbonzo beans the same thing,1
"Love Never Dies (musical) -- Love Never Dies is a romantic musical composed by Andrew Lloyd Webber with lyrics by Glenn Slater and a book by Lloyd Webber, Ben Elton, Frederick Forsyth and Slater. It is a sequel to the long-running musical The Phantom of the Opera and was loosely adapted from Forsyth's novel The Phantom of Manhattan (1999).",is love never dies a sequel to phantom of the opera,1
"Fear the Walking Dead -- Fear the Walking Dead is an American post-apocalyptic horror drama television series created by Robert Kirkman and Dave Erickson, that premiered on AMC on August 23, 2015. It is a companion series and prequel to The Walking Dead, which is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",are fear the walking dead and the walking dead related,1
"Kuwaiti oil fires -- From the perspective of ground forces, apart from the occasional ``oil rain'' experienced by troops very close to spewing wells, one of the more commonly experienced effects of the oil field fires were the ensuing smoke plumes which rose into the atmosphere and then precipitated or fell out of the air via dry deposition and by rain. The pillar-like plumes frequently broadened and joined up with other smoke plumes at higher altitudes, producing a cloudy grey overcast effect, as only about 10% of all the fires corresponding with those that originated from ``oil lakes'' produced pure black soot filled plumes, 25% of the fires emitted white to grey plumes, while the remainder emitted plumes with colors between grey and black. For example, one Gulf War veteran stated:",did it rain oil in the gulf war,1
"Shear wall -- In structural engineering, a shear wall is a structural system composed of braced panels (also known as shear panels) to counter the effects of lateral load acting on a structure. Wind and seismic loads are the most common building codes, including the International Building Code (where it is called a braced wall line) and Uniform Building Code, all exterior wall lines in wood or steel frame construction must be braced. Depending on the size of the building some interior walls must be braced as well.",is a shear wall a load bearing wall,1
"Ant-Man and the Wasp -- Ant-Man and the Wasp is a 2018 American superhero film based on the Marvel Comics characters Scott Lang / Ant-Man and Hope van Dyne / Wasp. Produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures, it is the sequel to 2015's Ant-Man, and the twentieth film in the Marvel Cinematic Universe (MCU). The film is directed by Peyton Reed and written by the writing teams of Chris McKenna and Erik Sommers, and Paul Rudd, Andrew Barrer, and Gabriel Ferrari. It stars Rudd as Lang and Evangeline Lilly as Van Dyne, alongside Michael Peña, Walton Goggins, Bobby Cannavale, Judy Greer, Tip ``T.I.'' Harris, David Dastmalchian, Hannah John-Kamen, Abby Ryder Fortson, Randall Park, Michelle Pfeiffer, Laurence Fishburne, and Michael Douglas. In Ant-Man and the Wasp, the titular pair work with Hank Pym to retrieve Janet van Dyne from the quantum realm.",do ant man and the wasp get together,1
"A Wrinkle in Time (2018 film) -- A Wrinkle in Time premiered at the El Capitan Theatre on February 26, 2018, with a theatrical release on March 9, 2018, through the Disney Digital 3-D, Real D 3D, and IMAX formats. The film received mixed reviews, with critics taking issue ``with the film's heavy use of CGI and numerous plot holes'' while some ``celebrated its message of female empowerment and diversity''. With a total production and advertisement budget of around $250 million, the film underperformed and was deemed a box office bomb, grossing just $132 million worldwide and losing Disney at least $86 million.",is the movie a wrinkle in time out,1
"Table of contents -- A table of contents usually includes the titles or descriptions of the first-level headers, such as chapter titles in longer works, and often includes second-level or section titles (A-heads) within the chapters as well, and occasionally even third-level titles (subsections or B-heads). The depth of detail in tables of contents depends on the length of the work, with longer works having less. Formal reports (ten or more pages and being too long to put into a memo or letter) also have a table of contents. Within an English-language book, the table of contents usually appears after the title page, copyright notices, and, in technical journals, the abstract; and before any lists of tables or figures, the foreword, and the preface.",does the foreword go before the table of contents,0
"Sodium bicarbonate -- Sodium bicarbonate (IUPAC name: sodium hydrogen carbonate), commonly known as baking soda, is a chemical compound with the formula NaHCO. It is a salt composed of sodium ions and bicarbonate ions. Sodium bicarbonate is a white solid that is crystalline but often appears as a fine powder. It has a slightly salty, alkaline taste resembling that of washing soda (sodium carbonate). The natural mineral form is nahcolite. It is a component of the mineral natron and is found dissolved in many mineral springs.",are bi carb soda and baking soda the same,1
"Social studies -- In the United States education system, social studies is the integrated study of multiple fields of social science and the humanities, including history, geography, and political science. The term was first coined by American educators around the turn of the twentieth century as a catch-all for these subjects, as well as others which did not fit into the traditional models of lower education in the United States, such as philosophy and psychology.",is social studies and social science the same,0
"Bumblebee -- Most bumblebees are social insects that form colonies with a single queen. The colonies are smaller than those of honey bees, growing to as few as 50 individuals in a nest. Female bumblebees can sting repeatedly, but generally ignore humans and other animals. Cuckoo bumblebees do not make nests; their queens aggressively invade the nests of other bumblebee species, kill the resident queens and then lay their own eggs, which are cared for by the resident workers.",are honey bees and bumble bees the same,0
"New York metropolitan area -- The New York metropolitan area, also referred to as the Tri-State Area, is the largest metropolitan area in the world by urban landmass, at 4,495 sq mi (11,640 km). The metropolitan area includes New York City (the most populous city in the United States), Long Island, and the Mid and Lower Hudson Valley in the state of New York; the five largest cities in New Jersey: Newark, Jersey City, Paterson, Elizabeth, and Edison, and their vicinities; six of the seven largest cities in Connecticut: Bridgeport, New Haven, Stamford, Waterbury, Norwalk, and Danbury, and their vicinities.",is new jersey a suburb of new york city,1
"Latte -- The term as used in English is a shortened form of the Italian caffè latte (kafˈfɛ lˈlatte), caffelatte (kaffeˈlatte) or caffellatte (kaffelˈlatte), which means ``milk coffee''. The word is also sometimes spelled latté or lattè in English with different kinds of accent marks, which can be a hyperforeignism or a deliberate attempt to indicate that the word is not pronounced according to the rules of English orthography.",is a caffe latte the same as a latte,1
"Virtual image -- In optics, a virtual image is an image formed when the outgoing rays from a point on an object always diverge. The image appears to be located at the point of apparent divergence. Because the rays never really converge, a virtual image cannot be projected onto a screen. In diagrams of optical systems, virtual rays are conventionally represented by dotted lines. Virtual images are located by tracing the real rays that emerge from an optical device (lens, mirror, or some combination) backward to a perceived point of origin.",can an image be formed without a screen,1
"Queen (chess) -- During the 15th century the queen's move took its modern form as a combination of the move of the rook and the current move of the bishop. Starting from Spain, this new version -- called ``queen's chess'' (scacchi de la donna), or pejoratively ``madwoman's chess'' (scacchi alla rabiosa) -- spread throughout Europe rapidly, partly due to the advent of the printing press and the popularity of new books on chess. The new rules faced a backlash in some quarters, ranging from anxiety over a powerful female warrior figure to frank abuse against women in general.",can you move a queen like a knight,0
"Bronx Zoo -- The Bronx Zoo is a zoo located within Bronx Park in the Bronx, a borough of New York City. It is the largest metropolitan zoo in the United States and among the largest in the world. On average, the zoo has 2.15 million visitors each year, and it comprises 265 acres (107 ha) of park lands and naturalistic habitats, through which the Bronx River flows.",is the bronx zoo the largest zoo in the world,0
"Hermaphrodite -- Some humans were historically termed true hermaphrodites if their gonadal tissue contained both testicular and ovarian tissue, or pseudohermaphrodites if their external appearance (phenotype) differed from sex expected from internal gonads. This language has fallen out of favor due to misconceptions and pejorative connotations associated with the terms, and also a shift to nomenclature based on genetics.",can a person have both male and female organs,1
"Lion -- The lion (Panthera leo) is a species in the cat family (Felidae); it is a muscular, deep-chested cat with a short, rounded head, a reduced neck and round ears, and a hairy tuft at the end of its tail. The lion is sexually dimorphic; males are larger than females with a typical weight range of 150 to 250 kg (331 to 551 lb) for the former and 120 to 182 kg (265 to 401 lb) for the latter. Male lions have a prominent mane, which is the most recognisable feature of the species. A lion pride consists of a few adult males, related females and cubs. Groups of female lions typically hunt together, preying mostly on large ungulates. The species is an apex and keystone predator, although they scavenge when opportunities occur. Some lions have been known to hunt humans, although the species typically does not.",is a lion part of the dog family,0
"Semi-presidential system -- A semi-presidential system or dual executive system is a system of government in which a president exists alongside a prime minister and a cabinet, with the latter being responsible to the legislature of a state. It differs from a parliamentary republic in that it has a popularly elected head of state, who is more than a purely ceremonial figurehead, and from the presidential system in that the cabinet, although named by the president, is responsible to the legislature, which may force the cabinet to resign through a motion of no confidence.",can a country have a president and a prime minister,1
"Indefinite leave to remain -- A person who has indefinite leave to remain, the right of abode or Irish citizenship has settled status if resident in the United Kingdom (all full British citizens have the right of abode).",is right of abode the same as indefinite leave to remain,1
"List of Marvel Cinematic Universe films -- The first film in the series was Iron Man (2008), which was distributed by Paramount Pictures. Paramount also distributed Iron Man 2 (2010), Thor (2011) and Captain America: The First Avenger (2011), while Universal Pictures distributed The Incredible Hulk (2008). Walt Disney Studios Motion Pictures began distributing the films with the 2012 crossover film The Avengers, which concluded Phase One of the franchise. Phase Two includes Iron Man 3 (2013), Thor: The Dark World (2013), Captain America: The Winter Soldier (2014), Guardians of the Galaxy (2014), Avengers: Age of Ultron (2015), and Ant-Man (2015).",is age of ultron connected to guardians of the galaxy,1
"Absolute pitch -- Physically and functionally, the auditory system of an absolute listener does not appear to be different from that of a non-absolute listener. Rather, ``it reflects a particular ability to analyze frequency information, presumably involving high-level cortical processing.'' Absolute pitch is an act of cognition, needing memory of the frequency, a label for the frequency (such as ``B-flat''), and exposure to the range of sound encompassed by that categorical label. Absolute pitch may be directly analogous to recognizing colors, phonemes (speech sounds), or other categorical perception of sensory stimuli. Just as most people have learned to recognize and name the color blue by the range of frequencies of the electromagnetic radiation that are perceived as light, it is possible that those who have been exposed to musical notes together with their names early in life will be more likely to identify, for example, the note C. Absolute pitch may also be related to certain genes, possibly an autosomal dominant genetic trait, though it ``might be nothing more than a general human capacity whose expression is strongly biased by the level and type of exposure to music that people experience in a given culture.''",do you have to be born with perfect pitch,0
"An Ember in the Ashes -- Film rights were optioned by Paramount Pictures in a seven-figure deal in 2014, well before the book's publication, and Mark Johnson (Breaking Bad, Chronicles of Narnia) has signed on to produce the film. The book's success led to the acquisition of a sequel almost immediately after its release. The sequel, entitled A Torch Against the Night, was released in August 2017. The third book, A Reaper at the Gates, was published on June 12, 2018.",is an ember in the ashes a trilogy,1
"Headlight flashing -- Though not all of its rules represent law, the Highway Code states ``Only flash your headlights to let other road users know that you are there. Do not flash your headlights in an attempt to intimidate other road users''. Drivers warning others about speed traps have been fined in the past for ``misuse of headlights''.",is it illegal to flash your headlights to warn of police uk,0
"Natural gas -- In the 19th century, natural gas was usually obtained as a by-product of producing oil, since the small, light gas carbon chains came out of solution as the extracted fluids underwent pressure reduction from the reservoir to the surface, similar to uncapping a soft drink bottle where the carbon dioxide effervesces. Unwanted natural gas was a disposal problem in the active oil fields. If there was not a market for natural gas near the wellhead it was prohibitively expensive to pipe to the end user.",are natural gas and oil the same thing,0
"Ford Escape -- The Ford Escape is a compact crossover vehicle sold by Ford since 2000 over three generations. Ford released the original model in 2000 for the 2001 model year--a model jointly developed and released with Mazda of Japan--who took a lead in the engineering of the two models and sold their version as the Mazda Tribute. Although the Escape and Tribute share the same underpinnings constructed from the Ford CD2 platform (based on Mazda GF underpinnings), the only panels common to the two vehicles are the roof and floor pressings. Powertrains were supplied by Mazda with respect to the base inline-four engine, with Ford providing the optional V6. At first, the twinned models were assembled by Ford in the US for North American consumption, with Mazda in Japan supplying cars for other markets. This followed a long history of Mazda-derived Fords, starting with the Ford Courier in the 1970s. Ford also sold the first generation Escape in Europe and China as the Ford Maverick, replacing the previous Nissan-sourced model. Then in 2004, for the 2005 model year, Ford's luxury Mercury division released a rebadged version called the Mercury Mariner, sold mainly in North America. The first iteration Escape remains notable as the first SUV to offer a hybrid drivetrain option, released in 2004 for the 2005 model year to North American markets only.",are mazda tribute and ford escape the same,1
"Jerry Maren -- Gerard Marenghi (January 24, 1920 -- May 24, 2018), known as Jerry Maren, was an American actor who played a Munchkin member of the Lollipop Guild in the 1939 Metro-Goldwyn-Mayer film, The Wizard of Oz. He became the last surviving Munchkin following the death of Ruth Duccini on January 16, 2014, and was also the last surviving cast member with a speaking or singing role.",are there any living cast members of the wizard of oz,0
"Bald eagle -- The bald eagle has sometimes been considered the largest true raptor (accipitrid) in North America. The only larger species of raptor-like bird is the California condor (Gymnogyps californianus), a New World vulture which today is not generally considered a taxonomic ally of true accipitrids. However, the golden eagle, averaging 4.18 kg (9.2 lb) and 63 cm (25 in) in wing chord length in its American race (A. c. canadensis), is merely 455 g (1.003 lb) lighter in mean body mass and exceeds the bald eagle in mean wing chord length by around 3 cm (1.2 in). Additionally, the bald eagle's close cousins, the relatively longer-winged but shorter-tailed white-tailed eagle and the overall larger Steller's sea eagle (H. pelagicus), may, rarely, wander to coastal Alaska from Asia.",is the bald eagle the biggest bird in the world,0
"American College of Education -- American College of Education is a regionally accredited, online college based in Indianapolis, Indiana, delivering online master's, doctorate and specialist degree programs, a bachelor's degree completion program, and graduate-level certificates in Education, Healthcare, and Nursing.",is american college of education accredited in new york,0
"Large intestine -- The large intestine, also known as the large bowel or colon, is the last part of the gastrointestinal tract and of the digestive system in vertebrates. Water is absorbed here and the remaining waste material is stored as feces before being removed by defecation.",is the colon the same as large intestine,1
"Becket controversy -- The Becket controversy or Becket dispute was the quarrel between Thomas Becket, the Archbishop of Canterbury, and King Henry II of England, from 1163 to 1170. The controversy culminated with Becket's murder in 1170, and was followed by Becket's canonization in 1173 and Henry's public penance at Canterbury in July 1174.",has the long exile of the archbishop ended,1
"Echinopsis pachanoi -- In most countries it is legal to cultivate the San Pedro cactus, but in countries where possession of mescaline and related compounds is illegal and highly penalized, cultivation for the purposes of consumption is most likely illegal and also highly penalized. This is the case in the United States, Australia, Canada, Sweden, Germany, New Zealand, and Norway, where it is currently legal to cultivate the San Pedro cactus for gardening and ornamental purposes, but not for consumption.",is the san pedro cactus illegal in the us,0
"Scarlett (Ripley novel) -- Scarlett is a 1991 novel by Alexandra Ripley, written as a sequel to Margaret Mitchell's 1936 novel, Gone with the Wind. The book debuted on The New York Times bestsellers list, but both critics and fans of the original novel found Ripley's version to be inconsistent with the literary quality of Gone with the Wind.",is there a sequal to gone with the wind,1
"Salt water taffy -- Salt water taffy is composed of sugar, cornstarch, corn syrup, glycerine, water, butter, salt, natural and/or artificial flavor, and food color. Some examples of flavoring include vanilla, lemon, maple, banana, red licorice, watermelon, raspberry or mint extracts. Despite its name, the taffy contains no salt water (seawater), but does contain both salt and water.",does salt water taffy have salt water in it,0
"Republic of Ireland–United Kingdom border -- The Republic of Ireland--United Kingdom border, also known as the Irish border, runs for 499 km (310 mi) from Lough Foyle in the north of Ireland to Carlingford Lough in the northeast, separating the Republic of Ireland from Northern Ireland.",is there border between ireland and northern ireland,1
"ACTH stimulation test -- Measuring a morning, fasting ACTH level helps assess for the etiology of adrenal insufficiency.",do i need to fast for an acth test,1
"1906 San Francisco earthquake -- For years, the epicenter of the quake was assumed to be near the town of Olema, in the Point Reyes area of Marin County, because of evidence of the degree of local earth displacement. In the 1960s, a seismologist at UC Berkeley proposed that the epicenter was more likely offshore of San Francisco, to the northwest of the Golden Gate. The most recent analyses support an offshore location for the epicenter, although significant uncertainty remains. An offshore epicenter is supported by the occurrence of a local tsunami recorded by a tide gauge at the San Francisco Presidio; the wave had an amplitude of approximately 3 in (8 cm) and an approximate period of 40--45 minutes.",was there a tsunami in the 1906 san francisco earthquake,1
